y1_statefips,state_abb,state_name,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
9,CT,Connecticut,98,CT,CT Total Migration-Foreign,348,685,18030
9,CT,Connecticut,97,CT,CT Total Migration-Same State,33889,55933,2304745
9,CT,Connecticut,9,CT,CT Non-migrants,1391024,2814505,160068978
9,CT,Connecticut,36,NY,New York,8276,12582,817271
9,CT,Connecticut,12,FL,Florida,8237,15025,1510605
9,CT,Connecticut,25,MA,Massachusetts,5555,8387,562528
9,CT,Connecticut,6,CA,California,2686,4205,307111
9,CT,Connecticut,37,NC,North Carolina,2455,4663,236829
9,CT,Connecticut,48,TX,Texas,2014,3860,243663
9,CT,Connecticut,34,NJ,New Jersey,1961,3267,214395
9,CT,Connecticut,45,SC,South Carolina,1705,3256,195429
9,CT,Connecticut,42,PA,Pennsylvania,1673,2846,148707
9,CT,Connecticut,51,VA,Virginia,1547,2784,166951
9,CT,Connecticut,44,RI,Rhode Island,1455,2273,155982
9,CT,Connecticut,13,GA,Georgia,1336,2683,119469
9,CT,Connecticut,33,NH,New Hampshire,986,1702,117003
9,CT,Connecticut,24,MD,Maryland,887,1476,82124
9,CT,Connecticut,8,CO,Colorado,868,1271,101224
9,CT,Connecticut,23,ME,Maine,857,1420,74049
9,CT,Connecticut,4,AZ,Arizona,769,1307,120607
9,CT,Connecticut,53,WA,Washington,690,1172,65454
9,CT,Connecticut,47,TN,Tennessee,684,1284,66681
9,CT,Connecticut,50,VT,Vermont,657,1084,103374
9,CT,Connecticut,17,IL,Illinois,626,1087,73357
9,CT,Connecticut,39,OH,Ohio,597,1100,54432
9,CT,Connecticut,26,MI,Michigan,393,769,38518
9,CT,Connecticut,57,FR,Foreign,348,685,18030
9,CT,Connecticut,11,DC,District Of Columbia,315,377,33553
9,CT,Connecticut,18,IN,Indiana,275,528,30168
9,CT,Connecticut,41,OR,Oregon,255,340,17976
9,CT,Connecticut,32,NV,Nevada,246,399,23142
9,CT,Connecticut,27,MN,Minnesota,243,433,23650
9,CT,Connecticut,10,DE,Delaware,241,434,28883
9,CT,Connecticut,29,MO,Missouri,224,372,17880
9,CT,Connecticut,55,WI,Wisconsin,213,368,16607
9,CT,Connecticut,49,UT,Utah,211,450,65173
9,CT,Connecticut,15,HI,Hawaii,203,374,15840
9,CT,Connecticut,21,KY,Kentucky,182,339,14622
9,CT,Connecticut,1,AL,Alabama,179,327,14743
9,CT,Connecticut,22,LA,Louisiana,155,268,15643
9,CT,Connecticut,35,NM,New Mexico,119,182,8162
9,CT,Connecticut,40,OK,Oklahoma,115,209,7584
9,CT,Connecticut,20,KS,Kansas,106,193,14386
9,CT,Connecticut,19,IA,Iowa,96,182,11780
9,CT,Connecticut,5,AR,Arkansas,93,164,7817
9,CT,Connecticut,30,MT,Montana,88,138,15486
9,CT,Connecticut,54,WV,West Virginia,70,114,4288
9,CT,Connecticut,2,AK,Alaska,68,120,4687
9,CT,Connecticut,28,MS,Mississippi,66,118,2992
9,CT,Connecticut,31,NE,Nebraska,61,116,4840
9,CT,Connecticut,16,ID,Idaho,60,109,13450
9,CT,Connecticut,46,SD,South Dakota,52,104,3763
9,CT,Connecticut,56,WY,Wyoming,51,86,-6509
9,CT,Connecticut,38,ND,North Dakota,28,44,1762
10,DE,Delaware,96,DE,DE Total Migration-US and Foreign,15849,28230,1092785
10,DE,Delaware,97,DE,DE Total Migration-US,15671,27845,1083537
10,DE,Delaware,98,DE,DE Total Migration-Foreign,178,385,9249
10,DE,Delaware,97,DE,DE Total Migration-Same State,4485,8583,287384
10,DE,Delaware,10,DE,DE Non-migrants,367395,754302,29639016
10,DE,Delaware,42,PA,Pennsylvania,3634,6332,252943
10,DE,Delaware,24,MD,Maryland,2758,4796,166130
10,DE,Delaware,12,FL,Florida,1437,2588,128792
10,DE,Delaware,34,NJ,New Jersey,1224,2133,84496
10,DE,Delaware,51,VA,Virginia,762,1396,55389
10,DE,Delaware,37,NC,North Carolina,626,1197,44613
10,DE,Delaware,36,NY,New York,616,994,39420
10,DE,Delaware,48,TX,Texas,603,1163,44029
10,DE,Delaware,6,CA,California,443,707,30836
10,DE,Delaware,13,GA,Georgia,408,785,21883
10,DE,Delaware,45,SC,South Carolina,266,490,21934
10,DE,Delaware,39,OH,Ohio,217,445,13924
10,DE,Delaware,25,MA,Massachusetts,187,272,12360
10,DE,Delaware,4,AZ,Arizona,179,352,13539
10,DE,Delaware,57,FR,Foreign,178,385,9249
10,DE,Delaware,47,TN,Tennessee,173,334,9953
10,DE,Delaware,53,WA,Washington,161,279,14743
10,DE,Delaware,8,CO,Colorado,158,255,10710
10,DE,Delaware,17,IL,Illinois,150,294,11213
10,DE,Delaware,9,CT,Connecticut,113,186,8256
10,DE,Delaware,18,IN,Indiana,111,202,4694
10,DE,Delaware,11,DC,District Of Columbia,101,124,7125
10,DE,Delaware,32,NV,Nevada,98,179,8086
10,DE,Delaware,26,MI,Michigan,93,198,5957
10,DE,Delaware,54,WV,West Virginia,90,180,5065
10,DE,Delaware,1,AL,Alabama,79,140,4327
10,DE,Delaware,29,MO,Missouri,71,139,3475
10,DE,Delaware,27,MN,Minnesota,64,116,4013
10,DE,Delaware,41,OR,Oregon,59,92,3810
10,DE,Delaware,23,ME,Maine,53,94,4241
10,DE,Delaware,21,KY,Kentucky,52,92,2737
10,DE,Delaware,49,UT,Utah,47,104,4607
10,DE,Delaware,22,LA,Louisiana,46,89,3901
10,DE,Delaware,55,WI,Wisconsin,43,74,1947
10,DE,Delaware,15,HI,Hawaii,43,83,2610
10,DE,Delaware,35,NM,New Mexico,43,77,1739
10,DE,Delaware,16,ID,Idaho,43,66,2295
10,DE,Delaware,40,OK,Oklahoma,42,70,2306
10,DE,Delaware,50,VT,Vermont,39,53,2216
10,DE,Delaware,28,MS,Mississippi,38,65,2084
10,DE,Delaware,19,IA,Iowa,37,83,3091
10,DE,Delaware,33,NH,New Hampshire,37,64,3102
10,DE,Delaware,5,AR,Arkansas,37,71,2441
10,DE,Delaware,20,KS,Kansas,34,68,3498
10,DE,Delaware,44,RI,Rhode Island,31,59,2709
10,DE,Delaware,2,AK,Alaska,29,80,1238
10,DE,Delaware,31,NE,Nebraska,23,49,1591
10,DE,Delaware,46,SD,South Dakota,21,37,1129
10,DE,Delaware,56,WY,Wyoming,18,32,859
10,DE,Delaware,38,ND,North Dakota,17,30,444
10,DE,Delaware,30,MT,Montana,17,37,1036
11,DC,District of Columbia,96,DC,DC Total Migration-US and Foreign,36267,53796,3772190
